Compound_Id	Well_Id	Induction	Conc_uM	Similarity	Known_Act	Trivial_Name	Smiles
280897	280897:07:06_01.00	51.5	1.0	93.5	inhibitor of mitochondrial electron transport.	Rotenone	C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
413124	413124:01:04_01.00	47.0	1.0	92.7	PDGFR.b. and B-Raf allosteric inhibitor. Also inhibits c-Raf, FLT3 and KIT. Disrupts blood vessel formation in zebrafish embryos and inhibits angiogenesis in a mouse angiogenesis model. Inhibits growth of renal and pancreatic tumors in mice. Also arrests cells in prometaphase.	KG 5	CSc1nc(N)cc(Oc2ccc(-c3n[nH]c(Nc4cccc(C(F)(F)F)c4)n3)cc2)n1
281038	281038:01:16_00.01	40.4	0.01	92.7	inhibitor of microtubule assembly.	Vincristine sulfate, VCR	CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
104614	104614:02:17_50.00	68.9	50.0	92.4	target the chromosome segregation 1-like protein (CSE1L, CAS, exportin-2) and the vinca alkaloid binding site of a/ß-tubulin.; Angew. Chem. Int. Ed. 2013, 52, 410	Tubulexin A	COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1
101008	101008:01:22_50.00	59.6	50.0	92.4	modulator of centrosome integrity; binds centrosome-associated proteins nucleophosmin (NPM) and Crm1.; Nat. Chem. Biol. 2012, 8, 179	Centrocountin 1	COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
410748	410748:01:04_06.00	58.4	6.0	92.3	TH588 is a potent and selective MTH1 (NUDT1) inhibitor with IC50 of 5 nM. It has no relevant inhibition of any of the other tested proteins at 100?¿M, although TH588 showed reasonable selectivity when tested on a much larger panel of 87 enzymes, GPCRs, kinases, ion channels and transporters at 10?¿M.	TH588	Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1
280630	280630:01:11_03.00	64.4	3.0	92.2	casein kinase-1 (CK-1delta/epsilon) inhibitor.	IC 261	COc1cc(OC)c(/C=C2/C(=O)Nc3ccccc32)c(OC)c1
280544	280544:01:03_30.00	37.8	30.0	92.2	major estrogen sectreted by premenopausal ovary.	beta-Estradiol, Dihydrofolliculin	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
246736	246736:01:04_30.00	44.7	30.0	92.2	estrogen.	Diethylstilbestrol	CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
101008	101008:01:22_30.00	54.2	30.0	91.9	modulator of centrosome integrity; binds centrosome-associated proteins nucleophosmin (NPM) and Crm1.; Nat. Chem. Biol. 2012, 8, 179	Centrocountin 1	COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
392075	392075:01:02_02.00	24.7	2.0	91.9	inhibitor of c-Jun N-terminal kinase 2/3 (IC50 = 0.3/0.25 µM), Inhibitor of binding or entry into cells for Lassa Virus (IC50 = 5 µM); N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)amides as potent, selective, inhibitors of JNK2 and JNK3.  Bioorg Med Chem Lett.  (2007),  17(5),  1296-1301.		N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCN2C(=O)C1CC1
408552	408552:01:05_10.00	79.1	10.0	91.9	Azaquindole-1 inhibits starvation- and rapamycin-induced autophagy (IC50 = 0.04 and 0.1 µM, respectively) by targeting the lipid kinase VPS34 (IC50 = 0.35 µM).; Angew. Chem. Int. Ed. Engl. 2020. https://doi.org/10.1002/anie.202000364	Azaquindole-1	COc1ccc2nccc([C@@H](O)[C@@H]3C[C@@H]4CCN3c3c4[nH]c4nc(C)c(Br)cc34)c2c1
410129	410129:01:03_02.00	53.4	2.0	91.8	Anlotinib (AL3818) is a highly potent and selective VEGFR2 inhibitor with IC50 less than 1 nM. It has broad-spectrum antitumor potential in clinical trials.	Anlotinib (AL3818) dihydrochloride	COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ccnc2cc1OCC1(N)CC1
392286	392286:01:02_02.00	25.7	2.0	91.8	inhibitor of Vascular endothelial growth factor receptor 2 (IC50 = 0.0076 µM), inhibitor of Tyrosine-protein kinase TIE-2 (IC50 = 0.39 µM); Discovery of Novel Benzimidazoles as Potent Inhibitors of TIE-2 and VEGFR-2 Tyrosine Kinase Receptors.    J Med Chem (2007),  50(18),  4453-4470.		COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cc(F)ccc4F)cc3)ccc2[nH]1
104614	104614:02:17_30.00	63.7	30.0	91.6	target the chromosome segregation 1-like protein (CSE1L, CAS, exportin-2) and the vinca alkaloid binding site of a/ß-tubulin.; Angew. Chem. Int. Ed. 2013, 52, 410	Tubulexin A	COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1
391868	391868:01:02_02.00	55.3	2.0	91.3	inhibitor of Vascular endothelial growth factor receptor 2 (IC50 = 0.0063 µM), inhibitor of Tyrosine-protein kinase TIE-2 (IC50 = 0.04 µM); Discovery of Novel Benzimidazoles as Potent Inhibitors of TIE-2 and VEGFR-2 Tyrosine Kinase Receptors.    J Med Chem (2007),  50(18),  4453-4470.		COC(=O)Nc1nc2cc(Oc3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)ccc2[nH]1
391925	391925:02:09_00.20	37.7	0.2	91.1	inhibitor of c-Jun N-terminal kinase 2/3 (IC50 = 0.3/0.2 µM), Inhibitor of binding or entry into cells for Lassa Virus (IC50 = 0.2 µM); N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)amides as potent, selective, inhibitors of JNK2 and JNK3.  Bioorg Med Chem Lett.  (2007),  17(5),  1296-1301.	JNK Inhibitor IX	N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2
410884	410884:02:06_01.00	76.7	1.0	91.1	CF53 is a highly potent, selective and orally active inhibitor of BET protein, with a Ki of <1 nM, Kd of 2.2 nM and an IC50 of 2 nM for BRD4 BD1. CF53 binds to both the BD1 and BD2 domains of BRD2, BRD3, BRD4, and BRDT BET proteins with high affinities, very selective over non-BET bromodomain-containing proteins. CF53 shows potent anti-tumor activity both in vitro and in vivo.	CF53	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CC4)nn3C)c12
410897	410897:01:03_02.00	74.6	2.0	91.1	GSK484 is a peptidylarginine deiminase 4 (PAD4) inhibitor. GSK484 demonstrates high affinity binding to PAD4 with IC50s of 50 nM in the absence of Calcium. In the presence of 2 mM Calcium, notably lower potency (250 nM) is observed.	GSK484	COc1cc(C(=O)N2CC[C@@H](O)[C@@H](N)C2)cc2nc(-c3cc4ccccc4n3CC3CC3)n(C)c12
246972	246972:12:04_00.60	62.3	0.6	91.0	glucose transport inhibitor ?, anthelmintic.	Mebendazole	COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
410958	410958:01:03_02.00	83.1	2.0	91.0	SGC-CBP30 is a potent CREBBP/EP300 bromodomain inhibitor with IC50 of 21-69 and 38 nM for CREBBP and EP300 bromodomains, respectively. IC50 Value: 21-69 nM(for CREBBP); 38 nM(for EP300) Target: Others in vivo: SGC-CBP30 is a highly potent and selective p300/CBP bromodomain inhibitor (IC50 ~0.021-0.069 µM for CBP and ~0.038 µM for p300). It has 40-fold selectivity for CBP over BRD4. It accelerated FRAP recovery at 1 µM.  in vivo: N/A	SGC-CBP30	COc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2C[C@H](C)N2CCOCC2)cc1Cl
281034	281034:01:12_00.01	56.6	0.01	91.0	inhibitor of microtubule assembly.	Vinblastine sulfate salt, VLB	CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)C3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
391925	391925:03:05_00.20	73.7	0.2	90.9	inhibitor of c-Jun N-terminal kinase 2/3 (IC50 = 0.3/0.2 µM), Inhibitor of binding or entry into cells for Lassa Virus (IC50 = 0.2 µM); N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)amides as potent, selective, inhibitors of JNK2 and JNK3.  Bioorg Med Chem Lett.  (2007),  17(5),  1296-1301.	JNK Inhibitor IX	N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2
247208	247208:01:05_30.00	20.9	30.0	90.9	Cytochrome P450 2D6; Cytochrome P450 3A4; Pregnane X receptor activation; (Plasmodium falciparum)	Eburnamonine (-)	CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32
391925	391925:03:04_00.20	73.4	0.2	90.9	inhibitor of c-Jun N-terminal kinase 2/3 (IC50 = 0.3/0.2 µM), Inhibitor of binding or entry into cells for Lassa Virus (IC50 = 0.2 µM); N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)amides as potent, selective, inhibitors of JNK2 and JNK3.  Bioorg Med Chem Lett.  (2007),  17(5),  1296-1301.	JNK Inhibitor IX	N#Cc1c(NC(=O)c2cccc3ccccc23)sc2c1CCCC2
410973	410973:02:02_06.00	45.4	6.0	90.9	TyK2-IN-2 is an inhibitor of TYK2, used for treatment of inflammatory and autoimmune diseases.	TyK2-IN-2	CNc1cc(Nc2cc(C)cc(C)c2)nn2c(C(N)=O)cnc12
410884	410884:01:03_02.00	71.5	2.0	90.8	CF53 is a highly potent, selective and orally active inhibitor of BET protein, with a Ki of <1 nM, Kd of 2.2 nM and an IC50 of 2 nM for BRD4 BD1. CF53 binds to both the BD1 and BD2 domains of BRD2, BRD3, BRD4, and BRDT BET proteins with high affinities, very selective over non-BET bromodomain-containing proteins. CF53 shows potent anti-tumor activity both in vitro and in vivo.	CF53	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CC4)nn3C)c12
410613	410613:01:03_02.00	66.1	2.0	90.8	2-Methoxyestradiol (2-MeOE2) depolymerizes microtubules and blocks HIF-1¿ nuclear accumulation and HIF-transcriptional activity. Phase 2.	2-Methoxyestradiol (2-MeOE2)	COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12
246876	246876:01:04_30.00	67.0	30.0	90.6	estrogen receptor activator.	Ethinylestradiol	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
410122	410122:01:05_06.00	82.0	6.0	90.5	WT-161 is a potent and selective HDAC6 inhibitor with an IC50 of  0.40 nM.	WT161	O=C(CCCCCCC(=O)N/N=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1)NO
410973	410973:02:02_02.00	28.5	2.0	90.5	TyK2-IN-2 is an inhibitor of TYK2, used for treatment of inflammatory and autoimmune diseases.	TyK2-IN-2	CNc1cc(Nc2cc(C)cc(C)c2)nn2c(C(N)=O)cnc12
410065	410065:02:03_00.20	50.4	0.2	90.3	Domatinostat (4SC-202 free base) is a selective class I HDAC inhibitor with IC50 of 1.20 µM, 1.12 µM, and 0.57 µM for HDAC1, HDAC2, and HDAC3, respectively. It also displays inhibitory activity against Lysine specific demethylase 1 (LSD1).	Domatinostat, 4SC-202	Cn1cc(-c2ccc(S(=O)(=O)n3ccc(/C=C/C(=O)Nc4ccccc4N)c3)cc2)cn1
407736	407736:02:04_10.00	68.0	10.0	90.2	it is a derivative of dorsomorphin that is a highly selective antagonist of BMP receptor isotypes ALK1 and ALK2 (IC50 values = 46 and 32 nM, respectively). ML347 has little effect on other ALK isoforms, including ALK3 (IC50 = 10 µM).	ML347, LDN-193719, VU0469381	COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1
246972	246972:12:05_00.60	50.6	0.6	90.2	glucose transport inhibitor ?, anthelmintic.	Mebendazole	COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
280954	280954:01:03_10.00	72.9	10.0	90.0	selective inhibitor of receptor-mediated and voltage-gated Ca2+ entry.	SKF-96365	COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1
246980	246980:07:08_50.00	43.5	50.0	89.8	Griseofulvin is an antifungal agent derived from the mold Penicillium griseofulvum that is used to treat fungal infections of the skin and nails. Griseofulvin binds to tubulin, disrupting microtubule function and inhibiting mitosis.	Griseofulvin	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
392587	392587:02:03_00.20	33.7	0.2	89.8	AZ960 is a potent and specific inhibitor of the JAK2 kinase with a Ki of 0.45 nM.	AZ 960	Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cc3)c(C#N)cc2F)n[nH]1
410074	410074:01:03_02.00	46.1	2.0	89.7	SB225002 is a potent, and selective CXCR2 antagonist with IC50 of 22 nM for inhibiting interleukin IL-8 binding to CXCR2, > 150-fold selectivity over the other 7-TMRs tested.	SB225002	O=C(Nc1ccc([N+](=O)[O-])cc1O)Nc1ccccc1Br
246980	246980:01:04_30.00	29.2	30.0	89.5	Griseofulvin is an antifungal agent derived from the mold Penicillium griseofulvum that is used to treat fungal infections of the skin and nails. Griseofulvin binds to tubulin, disrupting microtubule function and inhibiting mitosis.	Griseofulvin	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
410748	410748:01:04_10.00	67.2	10.0	89.1	TH588 is a potent and selective MTH1 (NUDT1) inhibitor with IC50 of 5 nM. It has no relevant inhibition of any of the other tested proteins at 100?¿M, although TH588 showed reasonable selectivity when tested on a much larger panel of 87 enzymes, GPCRs, kinases, ion channels and transporters at 10?¿M.	TH588	Nc1nc(NC2CC2)cc(-c2cccc(Cl)c2Cl)n1
104614	104614:02:17_10.00	33.2	10.0	89.1	target the chromosome segregation 1-like protein (CSE1L, CAS, exportin-2) and the vinca alkaloid binding site of a/ß-tubulin.; Angew. Chem. Int. Ed. 2013, 52, 410	Tubulexin A	COc1ccc(CC[C@H]2C[C@@H](OC(C)=O)C[C@@H](c3ccc(OCc4ccccc4)c(O)c3)O2)cc1
280164	280164:01:03_30.00	76.9	30.0	89.0	A fluorescent, amyloid-specific dye, an analogue of Congo Red and BSB that recognizes amyloid lesions and allows the quantitative monitoring of the formation of amyloid fibrils assembled from the Aß peptide, a-synuclein, and tau.	K114	Oc1ccc(/C=C/c2ccc(/C=C/c3ccc(O)cc3)c(Br)c2)cc1
101008	101008:01:24_30.00	71.0	30.0	88.9	modulator of centrosome integrity; binds centrosome-associated proteins nucleophosmin (NPM) and Crm1.; Nat. Chem. Biol. 2012, 8, 179	Centrocountin 1	COC(=O)C1=CC(C(=O)c2ccccc2O)=CN2CCc3c([nH]c4ccccc34)[C@@]12C(=O)OC
392289	392289:01:02_02.00	69.4	2.0	88.8	Inhibitor of B-Raf V600E mutant (IC50 = 0.0012 µM); Development of potent B-RafV600E inhibitors containing an arylsulfonamide headgroup. Bioorg Med Chem Lett. 2011 Aug 1;21(15):4436-40.		CC(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1
410692	410692:01:05_00.60	60.8	0.6	88.8	Picropodophyllin (PPP) is a IGF-1R inhibitor with IC50 of 1 nM. It displays selectivity for IGF-1R and does not coinhibit tyrosine phosphorylation the IR, or of a selected panel of receptors less related to IGF-IR(FGF-R, PDGF-R, OR EGF-R).	Picropodophyllin (PPP)	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
280897	280897:07:11_00.30	35.6	0.3	88.7	inhibitor of mitochondrial electron transport.	Rotenone	C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
246702	246702:01:04_30.00	27.6	30.0	88.6	Dopamine D4 receptor; Cytochrome P450 1A2 inhibiton; Interleukin-8 receptor A inhibition	Flubendazol	COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1
246980	246980:07:05_50.00	34.2	50.0	88.4	Griseofulvin is an antifungal agent derived from the mold Penicillium griseofulvum that is used to treat fungal infections of the skin and nails. Griseofulvin binds to tubulin, disrupting microtubule function and inhibiting mitosis.	Griseofulvin	COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O
280418	280418:01:03_10.00	45.4	10.0	88.3	A1 adenosine receptor antagonist.	7-Chloro-4-hydroxy-2-phenyl-1,8-naphthyridine	Oc1cc(-c2ccccc2)nc2nc(Cl)ccc12
410973	410973:02:02_10.00	55.6	10.0	88.2	TyK2-IN-2 is an inhibitor of TYK2, used for treatment of inflammatory and autoimmune diseases.	TyK2-IN-2	CNc1cc(Nc2cc(C)cc(C)c2)nn2c(C(N)=O)cnc12
413051	413051:01:04_03.00	78.1	3.0	88.2	GSK-923295 (GSK923295) is a first-in-class, specific, allosteric inhibitor of CENP-E kinesin motor function. GSK923295 is uncompetitive with both ATP and MT, inhibiting CENP-E MT-stimulated ATPase activity with a Ki of 3.2±0.2 nM. GSK923295 inhibits release of inorganic phosphate and stabilized CENP-E motor domain interaction with microtubules.	GSK-923295	CC(C)Oc1ccc(C(=O)N[C@H](CNC(=O)CN(C)C)Cc2ccc(-c3cn4cccc([C@H](C)O)c4n3)cc2)cc1Cl
392515	392515:02:03_00.20	39.6	0.2	88.2	Alisertib (MLN 8237) is an orally active and selective Aurora A kinase inhibitor (IC50=1.2 nM), which binds to Aurora A kinase resulting in mitotic spindle abnormalities, mitotic accumulation. Alisertib (MLN 8237) induces apoptosis and autophagy through targeting the AKT/mTOR/AMPK/p38 pathway in leukemic cells. Antitumor activity.	Alisertib (MLN8237)	COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O
410668	410668:01:03_02.00	46.1	2.0	88.2	(+)-JQ-1 is a BET bromodomain inhibitor, with IC50s of 77 and 33 nM for the first and second bromodomain (BRD4(1/2)). (+)-JQ-1 also activates autophagy.	(+)-JQ1	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2
410692	410692:01:04_00.60	58.9	0.6	88.0	Picropodophyllin (PPP) is a IGF-1R inhibitor with IC50 of 1 nM. It displays selectivity for IGF-1R and does not coinhibit tyrosine phosphorylation the IR, or of a selected panel of receptors less related to IGF-IR(FGF-R, PDGF-R, OR EGF-R).	Picropodophyllin (PPP)	COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1OC
410753	410753:01:04_10.00	76.3	10.0	88.0	Cyclo(RGDyK) is a potent and selective ¿Vß3 integrin inhibitor with IC50 of 20 nM.	Cyclo(RGDyK)	NCCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O
280954	280954:01:07_03.00	30.7	3.0	88.0	selective inhibitor of receptor-mediated and voltage-gated Ca2+ entry.	SKF-96365	COc1ccc(CCCOC(Cn2ccnc2)c2ccc(OC)cc2)cc1
410069	410069:01:06_00.20	25.2	0.2	88.0	CAY10603 (BML-281) is a potent and selective HDAC6 inhibitor, with an IC50 of 2 pM; CAY10603 (BML-281) also inhibits HDAC1, HDAC2, HDAC3, HDAC8, HDAC10, with IC50s of 271, 252, 0.42, 6851, 90.7 nM.	CAY10603	CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1
392203	392203:01:02_02.00	75.3	2.0	87.9	Inhibitor of B-Raf V600E mutant (IC50 = 0.0005 µM); Development of potent B-RafV600E inhibitors containing an arylsulfonamide headgroup. Bioorg Med Chem Lett. 2011 Aug 1;21(15):4436-40.		CC(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1
410624	410624:03:07_03.00	81.0	3.0	87.8	AZD7762 is a potent and selective inhibitor of Chk1 with IC50 of 5 nM in a cell-free assay. It is equally potent against Chk2 and less potent against CAM, Yes, Fyn, Lyn, Hck and Lck. Phase 1.	AZD7762	NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1
246514	246514:02:04_10.00	77.9	10.0	87.7	HMG CoA reductase inhibitor.	Fluvastatin sodium salt	CC(C)n1c(/C=C/[C@H](O)C[C@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21
280708	280708:01:03_30.00	82.4	30.0	87.7	antibiotic, inhibits post-translational prenylation of proteins such as Ras and geranylgeranylation of Rho.	Mevastatin, Compactin	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
409850	409850:01:02_10.00	43.0	10.0	87.6	PFI-1 is a selective BET (bromodomain-containing protein) inhibitor for BRD4 with IC50 of 0.22 µM in a cell-free assay.	PFI-1	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2
391895	391895:01:02_02.00	38.0	2.0	87.6	inhibitor of c-Jun N-terminal kinase 3 (IC50 = 1 µM), Inhibitor of binding or entry into cells for Lassa Virus (IC50 = 0.8 µM); N-(3-Cyano-4,5,6,7-tetrahydro-1-benzothien-2-yl)amides as potent, selective, inhibitors of JNK2 and JNK3.  Bioorg Med Chem Lett.  (2007),  17(5),  1296-1301.		N#Cc1c(NC(=O)c2ccc(F)c3ccccc23)sc2c1CCCC2
280428	280428:01:03_10.00	83.9	10.0	87.6	protein phosphatase 2A inhibitor.	Cantharidin	CC12C(=O)OC(=O)C1(C)C1CCC2O1
247133	247133:01:04_30.00	20.2	30.0	87.5	agonist of Androgen Receptor;	Estradiol-17 beta	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
392716	392716:01:09_02.00	77.9	2.0	87.5	GZD824 is a novel orally bioavailable Bcr-Abl inhibitor for Bcr-Abl(WT) and Bcr-Abl(T315I) with IC50 of 0.34 nM and 0.68 nM, respectively.	GZD824	Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2[nH]ncc2c1
392762	392762:02:04_10.00	77.9	10.0	87.4	IM-12 is a selective GSK-3ß inhibitor with IC50 of 53 nM, and also enhances canonical Wnt signalling.	IM-12	Cc1[nH]c2ccccc2c1C1=C(NCCc2ccc(F)cc2)C(=O)N(C)C1=O
410753	410753:02:02_30.00	77.2	30.0	87.4	Cyclo(RGDyK) is a potent and selective ¿Vß3 integrin inhibitor with IC50 of 20 nM.	Cyclo(RGDyK)	NCCCC[C@@H]1NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](CCCN=C(N)N)NC1=O
391915	391915:01:02_02.00	29.9	2.0	87.3	inhibitor of Vascular endothelial growth factor receptor 2 (IC50 = 0.0029 µM), inhibitor of Tyrosine-protein kinase TIE-2 (IC50 = 0.018 µM); Discovery of Novel Benzimidazoles as Potent Inhibitors of TIE-2 and VEGFR-2 Tyrosine Kinase Receptors.    J Med Chem (2007),  50(18),  4453-4470.		CCc1cccc(NC(=O)Nc2ccc(Oc3ccc4[nH]c(NC(=O)OC)nc4c3)cc2)c1
