Well_Id	Cluster	Induction	Conc_uM	Rel_Cell_Count	Trivial_Name	Smiles	Chiral
392708:01:09_02.00	AKT_PI3K_MTOR	45.3	2.0	90	GDC-0349	CCNC(=O)Nc1ccc(-c2nc3c(c(N4CCOC[C@@H]4C)n2)CCN(C2COC2)C3)cc1	False
392761:01:09_00.20	AKT_PI3K_MTOR	45.4	0.2	93	Zotarolimus(ABT-578)	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	False
392761:01:09_02.00	AKT_PI3K_MTOR	39.9	2.0	95	Zotarolimus(ABT-578)	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	False
392764:01:09_02.00	AKT_PI3K_MTOR	35.1	2.0	94	Temsirolimus (CCI-779, NSC 683864)	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	False
392893:01:08_10.00	AKT_PI3K_MTOR	25.2	10.0	89	Ipatasertib	CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1	True
392897:01:09_10.00	AKT_PI3K_MTOR	47.0	10.0	86	BAY 80-6946, Copanlisib	COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21	False
392897:01:10_03.00	AKT_PI3K_MTOR	51.5	3.0	84	BAY 80-6946, Copanlisib	COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21	False
392321:02:09_02.00	Aurora	27.6	2.0	70	ZM-447439	COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1	False
392321:03:03_02.00	Aurora	37.0	2.0	73	ZM-447439	COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN1CCOCC1	False
392506:01:09_02.00	Aurora	17.3	2.0	72	Danusertib	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1	False
392506:02:03_02.00	Aurora	25.4	2.0	63	Danusertib	CO[C@@H](C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1	False
392517:02:03_00.20	Aurora	40.8	0.2	78	AT9283	O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1	False
392517:02:03_02.00	Aurora	32.5	2.0	67	AT9283	O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CC1	False
392520:01:10_00.20	Aurora	14.7	0.2	83	Barasertib-HQPA	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	False
392520:01:10_02.00	Aurora	32.8	2.0	71	Barasertib-HQPA	CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1	False
392522:01:09_00.20	Aurora	38.9	0.2	75	SNS-314	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1	False
392522:01:09_02.00	Aurora	29.9	2.0	65	SNS-314	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1	False
392522:02:03_02.00	Aurora	30.6	2.0	60	SNS-314	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1	False
392595:01:09_00.20	Aurora	30.6	0.2	67	AMG 900	Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1	False
392595:01:09_02.00	Aurora	39.9	2.0	67	AMG 900	Cc1csc(-c2nnc(Nc3ccc(Oc4ncccc4-c4ccnc(N)n4)cc3)c3ccccc23)c1	False
392643:01:09_02.00	Aurora	16.6	2.0	67	CCT 137690	Cc1cc(CN2CCN(c3c(Br)cnc4[nH]c(-c5ccc(N6CCN(C)CC6)cc5)nc34)CC2)no1	False
409875:01:02_10.00	Aurora	49.1	10.0	63	CFI-400945	COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN5C[C@H](C)O[C@H](C)C5)cc4)[nH]nc3c1)C(=O)N2	True
410084:01:04_00.20	Aurora	27.6	0.2	74	BI-847325	CCNC(=O)C#Cc1ccc2c(/C(=N/c3ccc(CN(C)C)cc3)c3ccccc3)c(O)[nH]c2c1	False
410084:01:05_00.20	Aurora	31.8	0.2	69	BI-847325	CCNC(=O)C#Cc1ccc2c(/C(=N/c3ccc(CN(C)C)cc3)c3ccccc3)c(O)[nH]c2c1	False
410128:01:03_02.00	Aurora	40.6	2.0	61	SNS-314	O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1	False
410632:01:03_02.00	Aurora	40.1	2.0	63	ENMD-2076 L-(+)-Tartaric acid	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1	True
410784:01:03_00.20	Aurora	27.3	0.2	77	Barasertib	CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O	False
410784:01:03_02.00	Aurora	32.3	2.0	70	Barasertib	CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O	False
410914:01:03_00.20	Aurora	33.2	0.2	80	GSK-1070916	CCn1cc(-c2ccnc3[nH]c(-c4cccc(CN(C)C)c4)cc23)c(-c2ccc(NC(=O)N(C)C)cc2)n1	False
409850:01:02_10.00	BET	43.0	10.0	93	PFI-1	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2	False
409850:02:04_10.00	BET	37.7	10.0	99	PFI-1	COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C)C(=O)N2	False
410668:01:03_02.00	BET	46.1	2.0	95	(+)-JQ-1	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2	True
410668:02:03_00.20	BET	38.2	0.2	100	(+)-JQ-1	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2	True
410668:02:03_02.00	BET	62.0	2.0	93	(+)-JQ-1	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2	True
410825:01:03_00.20	BET	32.0	0.2	96	Birabresib	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)Nc1ccc(O)cc1)c1nnc(C)n1-2	False
410827:01:03_00.20	BET	32.1	0.2	94	PLX51107	Cc1noc(C)c1-c1cnc2c(-c3ccc(C(=O)O)cc3)cn([C@@H](C)c3ccccn3)c2c1	False
410827:01:03_02.00	BET	53.5	2.0	96	PLX51107	Cc1noc(C)c1-c1cnc2c(-c3ccc(C(=O)O)cc3)cn([C@@H](C)c3ccccn3)c2c1	False
410837:01:03_00.20	BET	39.0	0.2	102	GSK1324726A	CC(=O)N1c2ccc(-c3ccc(C(=O)O)cc3)cc2[C@H](Nc2ccc(Cl)cc2)C[C@@H]1C	False
410840:01:03_00.20	BET	53.4	0.2	96	MS417	COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21	False
410840:01:03_02.00	BET	53.5	2.0	103	MS417	COC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21	False
410851:01:03_02.00	BET	56.1	2.0	98	I-BET151	COc1cc2c(cc1-c1c(C)noc1C)ncc1nc(O)n([C@H](C)c3ccccn3)c12	False
410861:01:03_02.00	BET	50.6	2.0	103	Bromosporine	CCOC(=O)Nc1cc(-c2ccc(C)c(NS(C)(=O)=O)c2)nn2c(C)nnc12	False
410883:01:03_02.00	BET	41.1	2.0	94	Y06036	COc1cc2onc(C)c2cc1NS(=O)(=O)c1cc(Br)ccc1OC	False
410884:01:03_00.20	BET	52.5	0.2	95	CF53	COc1cc2c(cc1-c1c(C)noc1C)[nH]c1nc(C)nc(Nc3cc(C4CC4)nn3C)c12	False
410885:01:03_02.00	BET	48.4	2.0	99	BAY1238097	CNC(=O)N1N=C(c2ccc(N3CCN(C)CC3)cc2)c2cc(OC)c(OC)cc2C[C@@H]1C	False
410900:01:03_00.20	BET	37.0	0.2	100	CPI-203	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(N)=O)c1nnc(C)n1-2	False
410900:01:03_02.00	BET	60.6	2.0	92	CPI-203	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(N)=O)c1nnc(C)n1-2	False
410905:01:03_00.20	BET	28.3	0.2	101	ABBV-744	CCNC(=O)c1cc2c(-c3cc(C(C)(C)O)ccc3Oc3c(C)cc(F)cc3C)cn(C)c(O)c-2n1	False
410924:01:03_00.20	BET	61.1	0.2	87	ARV-771	Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]2N=C(c3ccc(Cl)cc3)c3c(sc(C)c3C)-n3c(C)nnc32)C(C)(C)C)cc1	False
410925:01:03_00.20	BET	31.1	0.2	97	(Rac)-BAY1238097	CNC(=O)N1N=C(c2ccc(N3CCN(C)CC3)cc2)c2cc(OC)c(OC)cc2CC1C	False
410941:01:03_00.20	BET	49.1	0.2	94	BET bromodomain inhibitor	Cc1noc2c1-c1ccc(-c3cnn(C)c3)cc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O	False
410941:01:03_02.00	BET	57.0	2.0	108	BET bromodomain inhibitor	Cc1noc2c1-c1ccc(-c3cnn(C)c3)cc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O	False
410946:01:03_00.20	BET	37.0	0.2	95	INCB054329	Cc1noc(C)c1-c1ccc2nc(O)n3c2c1OC[C@@H]3c1ccccn1	False
410946:01:03_02.00	BET	53.9	2.0	105	INCB054329	Cc1noc(C)c1-c1ccc2nc(O)n3c2c1OC[C@@H]3c1ccccn1	False
410947:01:03_00.20	BET	46.3	0.2	98	(+)-JQ1 PA	C#CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21	False
410947:01:03_02.00	BET	54.9	2.0	93	(+)-JQ1 PA	C#CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2c(sc(C)c2C)-n2c(C)nnc21	False
410954:01:03_02.00	BET	32.3	2.0	96	(S)-JQ-35	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)NCCCN1CCN(C)CC1)c1nnc(C)n1-2	False
410968:01:03_00.20	BET	40.9	0.2	100	HJB97	CCn1nc(C2CC2)cc1Nc1nc(C(=O)NC)nc2[nH]c3cc(-c4c(C)noc4C)c(OC)cc3c12	False
410999:01:03_00.20	BET	60.6	0.2	89	Mivebresib	CCS(=O)(=O)Nc1ccc(Oc2ccc(F)cc2F)c(-c2cn(C)c(O)c3nccc2-3)c1	False
411007:01:03_00.20	BET	54.4	0.2	95	INCB-057643	CN1C(=O)C(C)(C)Oc2c(-c3cn(C)c(O)c4nccc3-4)cc(S(C)(=O)=O)cc21	False
246366:01:04_10.00	DNA_Synth	29.9	10.0	69	Topotecan	CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	True
246389:01:04_10.00	DNA_Synth	33.5	10.0	71	Cladribine	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1	True
246660:01:04_10.00	DNA_Synth	39.7	10.0	60	Gemcitabine	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	True
246660:01:04_30.00	DNA_Synth	30.9	30.0	73	Gemcitabine	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1	True
246719:01:04_10.00	DNA_Synth	29.9	10.0	69	Fludarabine	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	True
246719:01:04_30.00	DNA_Synth	24.4	30.0	76	Fludarabine	Nc1nc(F)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	True
246755:01:04_10.00	DNA_Synth	32.6	10.0	69	Trifluridine	O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F	True
246785:01:04_10.00	DNA_Synth	41.5	10.0	67	Cytarabine	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1	True
247186:01:04_10.00	DNA_Synth	37.8	10.0	82	Ciclopirox (olamine)	Cc1cc(C2CCCCC2)n(O)c(=O)c1	False
247256:01:04_10.00	DNA_Synth	36.3	10.0	80	Deferoxamine mesylate	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	False
247256:01:04_30.00	DNA_Synth	45.6	30.0	88	Deferoxamine mesylate	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	False
247256:01:06_03.00	DNA_Synth	21.4	3.0	91	Deferoxamine mesylate	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	False
247256:03:04_06.00	DNA_Synth	24.9	6.0	105	Deferoxamine mesylate	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	False
247256:03:04_10.00	DNA_Synth	24.5	10.0	80	Deferoxamine mesylate	CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN	False
247284:01:04_30.00	DNA_Synth	27.1	30.0	69	Vidarabine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O	True
280158:01:04_30.00	DNA_Synth	45.6	30.0	67	ARP 101	CC(C)ON([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1	False
280184:01:03_10.00	DNA_Synth	25.4	10.0	91	PAC-1	C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O	False
280184:01:03_30.00	DNA_Synth	48.4	30.0	72	PAC-1	C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O	False
280184:02:04_06.00	DNA_Synth	19.2	6.0	80	PAC-1	C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O	False
280184:02:04_10.00	DNA_Synth	26.9	10.0	79	PAC-1	C=CCc1cccc(/C=N/NC(=O)CN2CCN(Cc3ccccc3)CC2)c1O	False
280293:01:03_10.00	DNA_Synth	33.5	10.0	68	Ancitabine hydrochloride, Cyclocytidine hydrochloride, Cyclo-C	N=c1ccn2c(n1)OC1[C@@H](O)[C@@H](CO)O[C@H]12	False
280420:01:03_10.00	DNA_Synth	29.4	10.0	63	Cytosine-1-beta-D-arabinofuranoside hydrochloride, Arabinocytidine hydrochloride, Arabinosylcytosine hydrochloride, Ara-C hydrochloride	Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1	False
280865:01:03_10.00	DNA_Synth	44.2	10.0	71	o-Phenanthroline	c1cnc2c(c1)ccc1cccnc12	False
280907:01:03_30.00	DNA_Synth	17.6	30.0	74	(±)-6-Chloro-PB hydrobromide, (±)-SKF-81297 hydrobromide	Oc1cc2c(c(Cl)c1O)CCNCC2c1ccccc1	False
392341:01:02_00.20	DNA_Synth	14.9	0.2	93		CC(C)N1CCC(n2cnc(-c3ccc(F)cc3)c2-c2ccnc(N)n2)CC1	False
392511:01:09_02.00	DNA_Synth	22.3	2.0	90	Palbociclib (hydrochloride)	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	False
407753:01:02_10.00	DNA_Synth	38.2	10.0	75	SP2509	C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O	False
407753:02:03_02.00	DNA_Synth	24.7	2.0	85	SP2509	C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O	False
408119:01:03_10.00	DNA_Synth	26.8	10.0	75	Gemcitabine HCl, LY188011	Nc1ccn([C@@H]2O[C@H](CO)C(O)C2(F)F)c(=O)n1	True
246688:01:04_10.00	HDAC	59.1	10.0	64	Vorinostat	O=C(CCCCCCC(=O)Nc1ccccc1)NO	False
246688:01:04_30.00	HDAC	66.3	30.0	59	Vorinostat	O=C(CCCCCCC(=O)Nc1ccccc1)NO	False
246688:01:12_03.00	HDAC	52.8	3.0	73	Vorinostat	O=C(CCCCCCC(=O)Nc1ccccc1)NO	False
392531:01:09_02.00	HDAC	52.2	2.0	75	CUDC-101	C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1	False
392651:01:09_00.20	HDAC	64.4	0.2	67	Fimepinostat	COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1	False
392651:01:09_02.00	HDAC	74.3	2.0	61	Fimepinostat	COc1ccc(-c2nc(N3CCOCC3)c3sc(CN(C)c4ncc(C(=O)NO)cn4)cc3n2)cn1	False
409838:01:04_10.00	HDAC	54.9	10.0	75	ACY-738	O=C(NO)c1cnc(NC2(c3ccccc3)CC2)nc1	False
409879:01:02_02.00	HDAC	68.9	2.0	63	Romidepsin	C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O	True
409879:01:05_00.20	HDAC	69.1	0.2	74	Romidepsin	C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O	True
409947:02:03_02.00	HDAC	54.7	2.0	80	Belinostat	O=C(/C=C/c1cccc(S(=O)(=O)Nc2ccccc2)c1)NO	False
410069:01:03_02.00	HDAC	63.4	2.0	76	CAY10603	CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1	False
410069:01:05_00.60	HDAC	45.6	0.6	94	CAY10603	CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCCCCCCC(=O)NO)no2)cc1	False
410801:01:04_00.20	HDAC	57.0	0.2	75	Panobinostat	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1	False
410801:01:04_02.00	HDAC	65.3	2.0	68	Panobinostat	Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1	False
410803:01:03_00.20	HDAC	63.6	0.2	70	Quisinostat	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	False
410803:01:03_02.00	HDAC	61.3	2.0	68	Quisinostat	Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21	False
410804:01:03_00.20	HDAC	49.2	0.2	79	Trichostatin A	CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1	False
410804:01:03_02.00	HDAC	58.7	2.0	66	Trichostatin A	CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1	False
410806:01:03_02.00	HDAC	28.0	2.0	94	Ricolinostat	O=C(CCCCCCNC(=O)c1cnc(N(c2ccccc2)c2ccccc2)nc1)NO	False
410811:01:03_00.20	HDAC	22.8	0.2	92	Scriptaid	O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO	False
410811:01:03_02.00	HDAC	52.3	2.0	78	Scriptaid	O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NO	False
410824:01:03_02.00	HDAC	62.2	2.0	66	Dacinostat	O=C(/C=C/c1ccc(CN(CCO)CCc2c[nH]c3ccccc23)cc1)NO	False
410843:01:03_00.20	HDAC	32.8	0.2	87	Pracinostat	CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC	False
410843:01:03_02.00	HDAC	55.8	2.0	73	Pracinostat	CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC	False
410856:01:03_02.00	HDAC	56.5	2.0	72	HDAC-IN-3	O=C(CCc1ccc(CN[C@H](C(=O)OC2CCCC2)C2CCCCC2)cn1)NO	False
410879:01:03_00.20	HDAC	38.7	0.2	95	Givinostat (hydrochloride monohydrate)	CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1	False
410879:01:03_02.00	HDAC	68.0	2.0	72	Givinostat (hydrochloride monohydrate)	CCN(CC)Cc1ccc2cc(COC(=O)Nc3ccc(C(=O)NO)cc3)ccc2c1	False
410916:01:03_00.20	HDAC	33.0	0.2	88	M344	CN(C)c1ccc(C(=O)NCCCCCCC(=O)NO)cc1	False
410990:01:03_00.20	HDAC	34.2	0.2	95	LMK-235	Cc1cc(C)cc(C(=O)NOCCCCCC(=O)NO)c1	False
410990:01:03_02.00	HDAC	55.4	2.0	80	LMK-235	Cc1cc(C)cc(C(=O)NOCCCCCC(=O)NO)c1	False
410102:01:03_02.00	HSP90	45.9	2.0	71	PU-H71	CC(C)NCCCn1c(Sc2cc3c(cc2I)OCO3)nc2c(N)ncnc21	False
410608:01:03_02.00	HSP90	48.9	2.0	68	Tanespimycin (17-AAG)	C=CC/N=C1/C(=O)C=C2NC(=O)/C(C)=C/C=C\[C@H](OC)[C@@H](OC(N)=O)/C(C)=C/[C@H](C)[C@@H](O)[C@@H](OC)C[C@H](C)CC1=C2O	True
410702:01:03_02.00	HSP90	44.9	2.0	65	Luminespib	CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1	False
410733:01:03_02.00	HSP90	30.4	2.0	71	NVP-HSP990	COc1cccc(-c2cc(F)ccc2[C@H]2Cc3nc(N)nc(C)c3C(=O)N2)n1	True
246344:01:04_30.00	LCH	63.6	30.0	98	Drofenine hydrochloride	CCN(CC)CCOC(=O)C(c1ccccc1)C1CCCCC1	False
246481:01:04_10.00	LCH	56.5	10.0	94	DO 897/99	COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1	False
246507:01:04_30.00	LCH	34.7	30.0	94	Chloropyramine hydrochloride	CN(C)CCN(Cc1ccc(Cl)cc1)c1ccccn1	False
246537:01:04_30.00	LCH	59.8	30.0	95	Dimethisoquin hydrochloride	CCCCc1cc2ccccc2c(OCCN(C)C)n1	False
246604:01:04_30.00	LCH	79.3	30.0	91	Penbutolol sulfate	CC(C)(C)NCC(O)COc1ccccc1C1CCCC1	False
246739:01:09_03.00	LCH	44.0	3.0	93	Sertraline	CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21	True
246746:01:04_30.00	LCH	67.9	30.0	99	Cyproheptadine (hydrochloride)	CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1	False
246889:01:05_10.00	LCH	63.7	10.0	98	Loperamide (hydrochloride)	CN(C)C(=O)C(CCN1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1	False
