Compound_Id	Well_Id	Is_Ref	Conc_uM	Rel_Cell_Count	Induction	Cluster_AKT_PI3K_MTOR	Cluster_Aurora	Cluster_BET	Cluster_DNA_Synth	Cluster_HDAC	Cluster_HSP90	Cluster_LCH	Cluster_Na_K-ATPase	Cluster_Protein_Synth	Cluster_Pyrimidine_Synth	Cluster_Tubulin	Cluster_Uncoupler	Cluster_High	Cluster_Sim	Trivial_Name	Known_Act	Chiral	Smiles
408406	408406:01:04_10.00	True	10.0	101	27.8	42.2	0.0	29.5	11.5	28.4	26.3	61.0	0.0	3.4	0.0	34.5	38.4	LCH	61.0		SYK propagates signal transduction for a number of immunoreceptor tyrosine-based activation motif¿dependent proinflammatory pathways. BI 1002494 is a potent inhibitor of SYK with an IC50 of 0.8 nM and inhibits in human whole blood the DNP/BSA (dinitroprusside / bovine serum albumine) induced expression of CD63 in basophils with an average IC50 of 115 nM (N=263) as well as in human B cells the goat anti-human IgD induced secretion of CD69 with an IC50 of 810 nM (N=36). A Kinase panel was run (Invitrogen 23/239 kinases hit > 50% INH @ 1 µM).	True	COc1cc(-c2cc3ncccc3c(O[C@H](C)[C@H]3CNC(=O)C3)n2)cc(OC)c1OC
407972	407972:01:03_10.00	True	10.0	103	15.0	63.3	0.0	0.0	60.2	0.0	33.5	0.0	0.0	0.0	74.2	0.0	0.0	Pyrimidine_Synth	74.2	FM-381	FM-381 is a potent covalent reversible inhibitor of JAK3 targeting the unique Cys909. FM-381 has an IC50 of 127 pM for JAK3, with 410, 2700 and 3600-fold selectivity over JAK1, JAK2 and TYK2, respectively.	False	CN(C)C(=O)/C(C#N)=C/c1ccc(-c2nc3cnc4[nH]ccc4c3n2C2CCCCC2)o1
392893	392893:01:06_10.00	True	10.0	96	31.4	58.5	0.0	10.0	49.1	9.7	30.8	53.7	0.0	0.0	21.3	23.7	30.2	AKT_PI3K_MTOR	58.5	Ipatasertib	Ipatasertib (GDC-0068) is a highly selective and ATP-competitive pan-Akt inhibitor with IC50s of 5, 18 and 8 nM for Akt1, Akt2 and Akt3, respectively.	True	CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1
407873	407873:01:03_10.00	True	10.0	98	24.9	63.9	0.0	0.0	73.2	0.0	0.0	0.0	0.0	0.0	84.5	0.0	0.0	Pyrimidine_Synth	84.5	3PO	A cell-permeable dipyridinyl-propenone compound that selectively blocks PFK-2 (6-phosphofructo-2-kinase) activity of PFKFB3 isozyme over PFK-1 (6-phosphofructo-1-kinase) in a mixed-mode manner. Rapidly decreases fructose-2,6-bisphosphate (F-2,6-P2) and 2-deoxyglucose uptake, and lactate secretion; efficiently arrests proliferation of transformed cells (IC50 ~ 1.4 µM in NHBE-ht/LT/ras) and suppresses tumor growth in several xenograft mouse models (70 mg/kg, i.p.). The cytostatic and cytotoxic effects of 3PO is shown to be highly sensitive to the intracellular levels of F-6-P (fructose-6-phosphate) and F-2,6-P2.; Clem, B., et al. 2008. Mol. Cancer Ther. 7, 110.	False	O=C(/C=C/c1cccnc1)c1ccncc1
392758	392758:02:05_10.00	True	10.0	90	14.7	18.7	21.2	0.0	60.0	0.0	35.5	0.0	0.0	0.0	68.1	0.0	0.0	Pyrimidine_Synth	68.1	GNE-7915	GNE-7915 is a potent, selective and brain-penetrant inhibitor of LRRK2 with an IC50 of 9 nM.	False	CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F
407892	407892:01:03_10.00	True	10.0	94	38.7	0.0	0.0	65.9	0.0	67.1	24.7	80.8	27.6	41.2	0.0	70.5	45.7	LCH	80.8	Telaglenastat	Telaglenastat (CB-839) is a first-in-class, selective, reversible and orally active glutaminase 1 (GLS1) inhibitor. Telaglenastat selectively inhibits GLS1 splice variants KGA (kidney-type glutaminase) and GAC (glutaminase C) compared to GLS2. The IC50s are 23 nM and 28 nM for endogenous glutaminase in mouse kidney and brain, respectively. Telaglenastat inudces autophagy and has antitumor activity.	False	O=C(Cc1cccc(OC(F)(F)F)c1)Nc1ccc(CCCCc2nnc(NC(=O)Cc3ccccn3)s2)nn1
392754	392754:02:07_10.00	True	10.0	65	26.3	20.4	0.0	3.6	38.7	4.3	30.4	43.2	0.0	0.0	23.6	22.8	0.0	LCH	43.2	LDC000067	LDC000067 is a highly specific CDK9 inhibitor with an IC50 value of 44±10 nM in vitro.	False	COc1ccccc1-c1cc(Nc2cccc(CS(N)(=O)=O)c2)ncn1
394206	394206:01:05_10.00	True	10.0	54	43.4	16.1	39.0	0.0	42.8	0.0	16.9	0.0	0.0	0.0	56.6	0.0	0.0	Pyrimidine_Synth	56.6	Cdk/Crk Inhibitor, RGB-286147, Cdk7 Inhibitor IV	A cell-permeable pyrazolo-pyrimidinone compound that acts as a potent, selective, and ATP-competitive inhibitor of Cdks (IC50 = 48 nM, 15 nM, 9 nM, 10 nM, 71 nM, and 9 nM for Cdk1/B, Cdk2/E, Cdk3/E, Cdk5/p35, Cdk7/H/MAT1, and Cdk9, respectively). It inhibits Cdk4/D1, Cdk6/D3, and GSK-3ß only at much higher concentrations (IC50 = 839 nM, 282 nM, and 754 nM, respectively) and exhibits little activity towards a panel of 60 other kinases. A broad-spectrum growth inhibitor toward tumor cells, but not non-transformed quiescent fibroblasts.	False	CC(C)c1nn(-c2c(Cl)cccc2Cl)c2nc(Cc3ccc(OCCO)cc3)nc(O)c12
407970	407970:01:03_10.00	True	10.0	106	31.4	0.0	0.0	55.9	0.0	59.9	30.8	73.0	15.4	32.8	0.0	62.0	35.4	LCH	73.0	A-395	A-395 is an antagonist of polycomb repressive complex 2 (PRC2) protein-protein interactions that potently inhibits the trimeric PRC2 complex (EZH2-EED-SUZ12) with an IC50 of 18 nM.	True	CN(C)[C@H]1CN(C2CCc3cccc(F)c32)C[C@@H]1c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1
407438	407438:01:05_10.00	True	10.0	89	35.8	57.3	11.3	0.0	75.2	0.0	8.2	0.0	0.0	0.0	92.4	0.0	0.0	Pyrimidine_Synth	92.4	Brequinar sodium salt hydrate, Biphenquinate sodium hydrate, DuP 785 hydrate	Brequinar exhibits anti-neoplastic activity against refractory solid tumors in human and mouse models. Continuous treatment is required for depletion of pyrimidine pools in the cancer cells and tumor inhibition. Brequinar inhibits dihydroorotate dehydrogenase (DHODH), the fourth enzyme in the de novo pyrimidine biosynthesis pathway, preventing the synthesis of DNA and RNA. Brequinar has recently been found to have antiviral activity against a broad spectrum of viruses including flaviviruses (dengue virus, West Nile virus, yellow fever virus, and Powassan virus) and also a plus-strand RNA alphavirus (Western equine encephalitis virus) and a negative-strand RNA rhabdovirus (vesicular stomatitis virus).	False	Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)O
392740	392740:02:05_10.00	True	10.0	90	75.3	0.0	0.0	75.5	0.0	71.4	18.3	89.3	30.3	50.0	0.0	75.0	60.8	LCH	89.3	WZ4003	WZ4003 is the first potent and highly specific NUAK kinase inhibitor with IC50 of 20 nM/100 nM for NUAK1 (ARK5)/NUAK2, without significant inhibition on other 139 kinases.	False	CCC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3OC)ncc2Cl)c1
392722	392722:02:08_10.00	True	10.0	84	29.2	0.0	0.0	51.1	15.1	43.8	0.0	60.7	16.1	46.8	0.0	66.6	57.6	Tubulin	66.6	Triciribine	Triciribine is a DNA synthesis inhibitor, also inhibits Akt and HIV-1 with IC50 of 130 nM and 20 nM, respectively; does not inhibit PI3K/PDK1; 5000-fold less active in cells lacking adenosine kinase. Phase 1/2.	False	CN1N=C(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23
407872	407872:01:03_10.00	True	10.0	108	23.3	13.6	0.0	9.5	8.3	7.0	44.5	44.8	0.0	0.0	12.4	26.0	0.0	LCH	44.8	Erastin	a cell-permeable piperazinyl-quinazolinone compound that exhibits oncogene-selective lethality. Shown to bind mitochondrial voltage-dependent anion channels (VDAC) and alter its gating; rapidly induce an oxidative, non-apoptotic cell death in several human tumors harboring activating mutations in the RAS-RAF-MEK signaling (EC50 = 6.0 µM in BJ-TERT/LT/ST/RASV12 cells).; Yagoda, N., et al. 2007. Nature 447, 864.	False	CCOc1ccccc1-n1c(C(C)N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)nc2ccccc2c1=O
407736	407736:01:03_10.00	True	10.0	93	8.8	18.5	0.0	55.0	0.0	54.0	39.7	71.7	21.2	33.4	0.0	55.7	56.5	LCH	71.7	ML347	ML347(DN193719) is a highly selective ALK1/ALK2 inhibitor with IC50s of 46/32 nM; shows >300-fold selectivity for ALK2 vs. ALK3.IC50 value:Target: ALK1/ALK2ML347 has IC50s of 46 and 32 nM, respectively, against ALK1 and ALK2; however, the IC50 against ALK3 is 10,800 nM, >300-fold selective over ALK3. ML347 is completely inactive against allthe other kinases tested (with weak activity against ALK6, 9830 nM and KDR (VEGFR2)19,700 nM). ML347 is potent in the BMP4 cell assay (152 nM).	False	COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1
392895	392895:01:06_10.00	True	10.0	84	40.1	38.0	0.0	32.9	0.0	26.2	43.2	55.2	8.6	20.2	0.0	48.2	44.4	LCH	55.2	GSK2334470	GSK2334470 is a highly specific and potent inhibitor of PDK1 (3-Phosphoinositide dependent protein kinase-1). GSK2334470 can be used in cells to ablate T-loop phosphorylation and activate SGK, S6K1 and RSK as well as suppress the activation of Akt.	True	CNc1nc(-c2ccc3c(N)n[nH]c3c2)cc(N2C[C@@H](C(=O)NC3CCCCC3)CC[C@H]2C)n1
408408	408408:01:03_10.00	True	10.0	102	7.3	0.0	0.0	32.6	0.1	32.0	38.0	62.2	0.0	9.9	0.0	49.7	22.2	LCH	62.2	BI-1935	BI-1935 is a potent soluble epoxide hydrolase (sEH) inhibitor for diseases related to cardiovascular disease.	False	CCOCCn1cc(C(=O)Nc2ccc(-n3nc(-c4cccnc4)cc3C(F)(F)F)cn2)ccc1=O
407976	407976:01:03_10.00	True	10.0	99	6.4	0.0	0.0	44.8	11.6	46.6	20.9	74.6	7.4	10.9	0.0	54.3	32.0	LCH	74.6	PFI-5	it is a potent inhibitor of SMYD2 lysine methyltransferase. PFI-5 inhibits in vitro methylation of p53K370 with IC50 = 9 nM and has more than 100-fold selectivity over other histone methyltransferases and other non-epigenetic targets. PFI-5 inhibits the methylation of p53K370 in cells with IC50 = 0.9 µM.	True	Cc1cc2c(ncn2C2(C)CN(C(=O)c3ccn(CC4CCN([C@H]5C=CCCCC5)CC4)c3)C2)c(N)n1
393774	393774:01:11_10.00	True	10.0	87	84.1	0.0	0.0	83.2	0.0	78.9	17.7	86.4	39.0	61.6	0.0	83.6	64.1	LCH	86.4	Vps34-IN-1	Vps34-IN-1 is an inhibitor of Vps34 extracted from patent WO2012085815A1, compound example 16a, with an IC50 of 4 nM. Vps34-IN-1 modulates autophagy.	False	CC(C)(O)CNc1ncc(-c2ccnc(Nc3ccnc(Cl)c3)n2)c(CC2CC2)n1
408117	408117:01:02_10.00	True	10.0	95	7.9	17.1	0.0	3.4	0.0	0.0	39.2	24.1	0.0	0.0	13.1	11.6	0.0	HSP90	39.2	(±)-SLV 319	potent and selective CB1 receptor antagonist (Ki = 7.8 nM). Exhibits 1000-fold selectivity for CB1 over CB2 receptors. Inhibits CP 55,940-induced hypotension and WIN 55,212-2-induced hypothermia in vivo. Orally active.	False	C/N=C(/NS(=O)(=O)c1ccc(Cl)cc1)N1CC(c2ccccc2)C(c2ccc(Cl)cc2)=N1
392897	392897:01:08_10.00	True	10.0	82	47.5	81.8	0.0	0.0	61.8	0.0	17.5	12.0	0.0	0.0	55.0	0.0	12.2	AKT_PI3K_MTOR	81.8	BAY 80-6946, Copanlisib	BAY 80-6946 (Copanlisib) is a potent and highly selective reversible PI3K inhibitor for PI3Ka/ß with IC50 of 0.469 nM/3.72 nM. BAY 80-6946 is a phosphoinositide 3-kinase (PI3K) inhibitor with potential antineoplastic activity. BAY 86-9766 inhibits proliferation with IC50 of 147 nM in HuCCT-1 (KRASG12D ) and 137 nM in EGI-1 (KRASG12D ) cell lines. BAY 80-6946 is generally well tolerated through the MTD (maximum tolerated dose) of 0.8 mg/kg. PK (pharmacokinetics) results support weekly dosing. Grade 2/3 hyperglycemia in the first 24 hrs after receiving a dose is common at the MTD. PK, clinical SD and FDG-PET data are consistent with effective exposure and PI3K pathway inhibition.	False	COc1c(OCCCN2CCOCC2)ccc2c1N=C(NC(=O)c1cnc(N)nc1)N1CCN=C21
408405	408405:01:03_10.00	True	10.0	58	36.8	0.0	72.5	0.0	34.0	0.0	23.9	19.9	0.0	0.0	14.2	15.6	0.0	Aurora	72.5		BI 831266 is a potent Aurora B inhibitor with an IC50 of 42 nM.	True	CC(C)NC(=O)[C@H]1CCC[C@H]1Nc1nc(Nc2ccc(C(=O)N(C)C3CCN(C)CC3)cc2)ncc1Cl
392551	392551:02:06_10.00	True	10.0	52	43.9	21.5	42.2	0.0	55.7	0.0	5.1	0.0	0.0	0.0	62.6	0.0	0.0	Pyrimidine_Synth	62.6	PHA-793887	PHA-793887 is a pyrrolo[3,4-c]pyrazole that inhibits cyclin-dependent kinases Cdk2/cyclin A, Cdk2/cyclin E, Cdk5/p25, and Cdk7/cyclin H with IC50 values of 8, 8, 5, and 10 nM, respectively. It is more than 6-fold selective for these kinases over Cdk1/cyclin B, Cdk4/cyclin D1, Cdk9/cyclin T, and GSK3ß (IC50s = 60, 62, 138, and 79 nM, respectively). PHA-793887 is cytotoxic to human ovarian A2780, colon HCT116, pancreatic BX-PC3, and leukemic K562, KU812, KCL22, and TOM1 cells both in vitro and in xenograft models. This compound has been examined in patients with solid tumors in phase 1 clinical trials.	False	CC(C)CC(=O)Nc1[nH]nc2c1CN(C(=O)C1CCN(C)CC1)C2(C)C
407971	407971:01:03_10.00	True	10.0	103	19.2	30.1	0.0	45.2	0.0	37.7	42.0	50.7	10.3	25.5	0.0	47.2	51.5	Uncoupler	51.5	A-485	A-485 is a potent and selective catalytic inhibitor of p300/CBP with IC50s of 9.8nM and 2.6nM for p300 and CBP histone acetyltransferase (HAT), respectively.	True	CNC(=O)Nc1ccc2c(c1)CC[C@@]21OC(=O)N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](C)C(F)(F)F)C1=O
404609	404609:01:13_10.00	True	10.0	86	38.3	16.2	0.0	25.2	0.0	22.5	43.3	34.7	17.7	28.1	0.0	38.1	25.1	HSP90	43.3			True	CC/C1=C/C=C\C[C@@H](C)[C@H](O)[C@@](C)(O)C(=O)[C@@H](C)[C@H](O)[C@@H](C)C(=O)[C@@H](C)[C@H](O)[C@@H](C)/C=C/C(=O)O[C@@H]2C(C)[C@H](CCC1)O[C@]1(CC[C@H](C)[C@H](C[C@@H](C)O)O1)[C@H]2C
408401	408401:01:04_10.00	True	10.0	89	9.2	0.0	0.0	48.3	0.0	49.1	52.3	56.8	14.8	52.8	0.0	62.9	40.2	Tubulin	62.9		BI 99179 inhibits the FAS (type I fatty acid synthase) enzyme isolated form HeLa cells with an IC50 of 79 nM.	True	CCC(=O)N[C@H]1CC[C@@H](C(=O)N(C)c2ccc(-c3nc4ccccc4o3)cc2)C1
331830	331830:02:14_10.00	True	10.0	58	28.2	30.4	0.0	42.1	0.0	49.5	53.9	55.6	26.5	27.9	0.0	60.4	60.7	Uncoupler	60.7	PD 407824	PD 407824 is a checkpoint kinase Chk1 and WEE1 inhibitor with IC50s of 47 and 97 nM, respectively. PD 407824 is a chemical BMP sensitizer and increases the sensitivity of cells to sub-threshold amounts of BMP4.	False	O=C1NC(=O)c2c1c(-c1ccccc1)cc1[nH]c3ccc(O)cc3c21
408409	408409:01:03_10.00	True	10.0	97	18.7	0.0	0.0	43.6	0.0	42.3	40.2	58.8	13.9	25.6	0.0	55.7	26.8	LCH	58.8		BI-1950 potently inhibits the binding of LFA-1 to ICAM-1 (intercellular adhesion molecule 1) with a KD value of 9 nM and the production of IL-2 in human PBMC and whole blood with an IC50 value of 3 nM and 120 nM, respectively.	True	C[C@H](NC(=O)c1cnc2n1[C@](C)(Cc1ccc(C#N)cc1)C(=O)N2c1cc(Cl)c(F)c(Cl)c1)C(=O)NC1(c2ccccn2)CC1
392892	392892:01:08_10.00	True	10.0	85	5.7	34.5	0.0	13.2	0.0	11.3	48.3	36.8	0.0	5.9	7.6	22.2	17.8	HSP90	48.3	Idelalisib	The phosphatidylinositol 3-kinase (PI3K) signaling pathway has central roles in cell growth, development, and survival. CAL-101 is a cell permeable inhibitor of the PI3K catalytic subunit p110d (IC50 = 2.5 nM) that demonstrates 40- to 300-fold selectivity against other PI3K class I enzymes (IC50s = 820, 565, and 89 nM for p110a, ß, and ?, respectively). At 1 µM it can block constitutive PI3K signaling in malignant B-cell lines and primary patient tumor cells, resulting in decreased phosphorylation of Akt and other downstream effectors, an increase in poly(ADP-ribose) polymerase, and apoptosis.It has also been shown to inhibit the chemotaxis of chronic lymphocytic leukemia cells and to downregulate the secretion of chemokines triggered by B-cell receptor signaling.	True	CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1
280372	280372:09:13_10.00	True	10.0	102	9.3	34.5	0.0	51.3	0.0	47.9	37.9	70.9	5.3	45.9	0.0	54.8	71.9	Uncoupler	71.9	CGS 15943	CGS 15943 is an orally bioavailable non-xanthine Adenosine Receptor antagonist. Its Ki for human A1, A2A, A2B, and A3 Adenosine Receptors are 3.5, 4.2, 16, and 50 nM in transfected CHO cells, respectively. .	False	Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
407753	407753:01:02_10.00	True	10.0	75	38.2	37.2	30.6	0.0	93.0	0.0	0.0	0.0	0.0	0.0	76.2	0.0	0.0	DNA_Synth	93.0	SP2509	SP2509 is a potent and selective antagonist of lysine specific demethylase 1 (LSD1) with IC50 of 13 nM.	False	C/C(=N\NC(=O)c1cccc(S(=O)(=O)N2CCOCC2)c1)c1cc(Cl)ccc1O
408413	408413:01:03_10.00	True	10.0	90	19.5	0.0	0.0	29.8	0.0	37.1	39.0	57.0	5.6	21.5	0.0	42.0	13.1	LCH	57.0	BI-3812	BI-3812 is potent and efficacious BCL6 inhibitor, inhibiting the BTB domain of BCL6, with an IC50 of 3 nM; BI-3812 has antitumor activity.	False	CNC(=O)COc1cc2cc(Nc3nc(N4CCC(C(=O)N(C)C)CC4)ncc3Cl)cc(OC)c2n(C)c1=O
407880	407880:01:03_10.00	True	10.0	97	28.2	0.0	0.0	39.9	0.0	38.3	42.3	60.2	8.7	15.5	0.0	53.0	25.2	LCH	60.2	ML385	ML385 is a specific nuclear factor erythroid 2-related factor 2 (NRF2) inhibitor with an IC50 of 1.9 uM.	False	Cc1ccccc1C(=O)N1CCc2cc(-c3nc(NC(=O)Cc4ccc5c(c4)OCO5)sc3C)ccc21
394207	394207:01:06_10.00	True	10.0	65	82.2	0.0	9.6	63.6	0.0	66.3	17.2	80.2	29.4	50.2	0.0	71.0	27.6	LCH	80.2	HTH-01-015	HTH-01-015 is a selective NUAK1/ARK5 inhibitor (IC50 is 100 nM). HTH-01-015 inhibits NUAK1 with >100-fold higher potency than NUAK2 (IC50 of >10 uM).	False	Cc1nc(Nc2cnn(C3CCNCC3)c2)nc2c1N(C)C(=O)c1cc3ccccc3cc1N2C
408414	408414:01:04_10.00	True	10.0	104	7.4	0.0	0.0	39.7	0.0	41.9	47.0	51.8	14.7	49.9	0.0	57.6	32.3	Tubulin	57.6		BI-6901 is the first small molecule inhibitor of the chemokine receptor CCR10. BI-6901 inhibits the CCL27 dependent Ca2+ flux in CHO-K cells stably transfected with human CCR10 and aequorin with an pIC50 of 9.0.	True	CC1CCN(C(=O)[C@@H](CCn2cccc2C#N)NS(=O)(=O)c2cccc3[nH]ccc23)CC1
404608	404608:01:13_10.00	True	10.0	87	39.9	23.6	0.0	60.3	0.0	59.8	2.8	42.3	40.0	48.1	0.0	52.5	95.5	Uncoupler	95.5	FCCP	FCCP is an uncoupler of oxidative phosphorylation (OXPHOS) in mitochondria. FCCP induces activation of PINK1 leading to Parkin Ser65 phosphorylation.	False	N#CC(C#N)=NNc1ccc(OC(F)(F)F)cc1
